"Team","idseason","Player","Fixture","Game","idgame","Season","Phase","Round","Home_Away","Against","Position","Minutes played","Goals","Assists","Yellow card","Red card","Shots on target","Shots off target","Shots blocked","Dribble attempts","Dribble attempts succ","Penalty won","Big chances missed","Penalty miss","Hit woodwork","Defensive actions","Clearances","Blocked shots","Interceptions","Total tackles","Dribbled past","Penalty committed","Own goals","Last man tackle","Error led to shot","Clearance off line","Error led to goal","Touches","Accurate passes","Total passes","Accurate passes(%)","Key passes","Total Crosses","Accurate Crosses","Total Long balls","Accurate Long balls","Big chances created","Duels","Duels won","Ground duels","Ground duels won","Aerial duels","Aerial duels won","Possession lost","Fouls","Was fouled","Offsides","Saves","Punches","Runs out","Runs out succ","High claims","Saves from inside box","Penalties saved","Dribble(%)","Passes(%)","Crosses(%)","Long balls(%)","Duels(%)","Ground duels(%)","Aerial duels(%)","Runs out(%)","Result"
"PAS Lamia 1964","6_7_2024-2025","Vedad Radonja",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","M",84,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,4,3,0,0,0,0,0,0,49,16,22,"(73%)",0,2,0,4,3,0,11,6,9,6,2,0,13,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.727,0,0.75,0.545,0.667,0,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Saliou Guindo",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","F",25,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,15,8,10,"(80%)",2,0,0,0,0,0,3,3,3,3,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0.8,NA,NA,1,1,NA,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Georgios Giannoutsos",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","D",65,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,1,1,0,0,0,0,0,0,0,0,30,16,21,"(76%)",1,0,0,4,2,0,4,2,0,0,4,2,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,0.5,0.5,NA,0.5,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Alberto Simoni",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","F",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,"(100%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Giorgos Saramantas",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","D",12,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,"(100%)",0,2,0,0,0,0,3,1,3,1,0,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.5,1,0,NA,0.333,0.333,NA,NA,"Lose"
"PAS Lamia 1964","6_7_2024-2025","Ivan Kostic",6,7,"6_7","2024-2025","Regular Season","First Round","Home","Panserraikos","G",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,22,"(45%)",0,0,0,16,4,0,0,0,0,0,0,0,12,0,0,0,4,0,1,1,0,2,0,NA,0.455,NA,0.25,NA,NA,NA,1,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Vedad Radonja",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","D",80,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,49,22,33,"(67%)",2,6,2,4,0,0,4,1,3,1,1,0,17,3,0,0,NA,NA,NA,NA,NA,NA,NA,1,0.667,0.333,0,0.25,0.333,0,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Angelo Henriquez",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","F",24,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,21,4,6,"(67%)",1,1,0,0,0,0,6,3,6,3,0,0,8,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0.667,0,NA,0.5,0.5,NA,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Georgios Giannoutsos",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","D",90,0,0,0,0,0,2,0,3,2,0,0,0,0,8,5,1,2,0,1,0,0,0,0,0,0,69,42,54,"(78%)",0,0,0,3,0,0,8,5,6,3,2,2,13,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.667,0.778,NA,0,0.625,0.5,1,NA,"Lose"
"PAS Lamia 1964","7_3_2024-2025","Andreas Athanasakopoulos",7,3,"7_3","2024-2025","Regular Season","First Round","Away","Aris Thessaloniki","M",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,10,10,"(100%)",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,"Lose"
